"","LL07","LL09","LL11","LL08","LL10","LL12","LL13","LL15","LL17","LL14","LL16","LL18"
"ENSLAIG00005000146",483.578546533388,1614.83908516567,1271.6398366365,691.607506132666,1697.58603572229,1028.71551733506,736.004550615879,762.110223183695,993.7632642652,773.442178968753,443.500959656466,1188.07040677087
"ENSLAIG00005000147",1135.99270629611,1205.37712463515,565.249759544434,1145.6116549273,1172.05375994145,503.521569931557,500.842121028854,332.799224097684,438.962914276653,523.580176347354,371.536652995228,639.992081584306
"ENSLAIG00005000148",0,0,0,0,0.934279601388161,0.722412582398217,0,0,0,8.78911567009947,0,3.40421319991652
"ENSLAIG00005000149",148.825466476224,186.887454462326,177.630253303854,170.966721710654,189.191619281103,187.827271423537,193.874369430524,96.5117749883282,161.562739282379,183.315841119217,135.560670687448,139.572741196577
"ENSLAIG00005000150",0,0,0,0.336548664784753,0.46713980069408,0,5.3853991508479,0,0,5.02235181148541,0,6.80842639983304
"ENSLAIG00005000151",190.513272211861,227.739737221678,261.625954478544,171.976367705009,212.548609315807,244.897865432996,175.923038927698,236.287449109355,198.142982138767,104.213800088322,199.157034713658,170.210659995826
"ENSLAIG00005000152",0,0,28.916552863418,0,12.1456348180461,40.4551046143002,17.9513305028263,9.98397672293051,15.2417678568282,62.7793976435676,6.69435410802213,45.956878198873
"ENSLAIG00005000153",819.165382705266,991.724381468421,971.458478340068,891.51741301481,1047.79457295682,991.872475632752,1017.84043951025,831.998060244209,1237.63154997445,1140.07386120719,826.752732340733,994.030254375624
"ENSLAIG00005000154",2.91814640149458,1.40869940549492,8.95036160058178,3.02893798306277,2.80283880416448,4.3344754943893,3.59026610056527,0,6.09670714273129,3.76676385861406,3.34717705401107,1.70210659995826
"ENSLAIG00005000155",274.305761740491,216.939708446217,258.871997062981,269.912029157372,307.377988856705,218.89101246666,220.801365184764,266.239379278147,359.705721421146,336.497571369522,184.094737970609,413.611903789857
"ENSLAIG00005000156",7044.40541320793,7079.18407908045,7268.3821090263,6706.40524316576,6136.81556171813,7258.07921535489,5710.31823294905,7754.22192147603,6166.8192748727,6687.26143699282,11025.6012159125,6176.94485124853
"ENSLAIG00005000157",0,2.34783234249153,2.06546806167272,0,0,2.16723774719465,0,0,0,0,0,0
"ENSLAIG00005000158",150.492978705649,107.061154817614,176.253274596072,121.157519322511,109.777853163109,184.937621093944,156.176575374589,146.431658602981,97.5473142837006,228.517007422586,219.240097037725,71.488477198247
"ENSLAIG00005000159",483.161668476032,805.776059943092,137.697870778181,524.679368399429,1069.75014358944,172.656607193174,102.32258386611,485.886867182618,481.639864275772,80.3576289837666,480.319907250588,451.058248988939
"ENSLAIG00005000160",426.883130732922,600.105946740834,457.156930983562,518.621492433304,538.145050399581,428.390661362143,3398.18686418502,1287.93299725804,1201.05130711806,3097.53547973363,1866.05120761117,1707.21291975814
"ENSLAIG00005000161",36.2683909900041,72.7828026172373,89.5036160058178,48.4630077290044,78.4794865166055,134.368740326068,107.707983016958,282.879340483031,146.320971425551,101.70262418258,299.57234633399,100.424289397537
"ENSLAIG00005000162",193.848296670712,861.184903225892,248.544656754617,218.756632110089,1577.06396714322,211.666886642678,220.801365184764,119.807720675166,140.22426428282,156.948494108919,100.415311620332,122.551675196995
"ENSLAIG00005000164",503.171815229138,1009.09834080286,667.146183920288,778.773610311917,1233.71621363307,535.307723557079,6778.42239786722,1444.34863258395,2130.79914638459,8059.61906948121,1076.11742286456,3354.85210851773
"ENSLAIG00005000165",37.5190251620732,28.1739881098983,11.0158296622545,25.5776985236412,26.1598288388685,5.05688807678752,87.961519463849,53.2478758556294,76.2088392841411,95.4246844182228,56.9020099181881,148.083274196369
"ENSLAIG00005000166",5.83629280298917,11.2695952439593,8.95036160058178,4.71168130698654,11.678495017352,7.22412582398217,16.1561974525437,3.32799224097684,0,10.0447036229708,3.34717705401107,13.6168527996661
