	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005000463	58	53	13	74	44	27
ENSLAIG00005000464	759	946	709	1007	854	758
ENSLAIG00005000465	1	2	61	3	1	61
ENSLAIG00005000466	1	2	2	4	1	0
ENSLAIG00005000467	101	113	58	107	97	51
ENSLAIG00005000468	226	222	150	370	214	159
ENSLAIG00005000469	1012	1529	909	1609	1598	847
ENSLAIG00005000470	18	1062	3493	263	877	4167
ENSLAIG00005000471	271	264	204	263	218	184
ENSLAIG00005000472	5	15	3	3	7	13
ENSLAIG00005000473	635	527	478	745	523	521
ENSLAIG00005000474	3	0	1	0	4	1
ENSLAIG00005000475	260	258	223	359	316	273
ENSLAIG00005000477	758	611	432	936	646	525
ENSLAIG00005000478	12	22	10	13	19	7
ENSLAIG00005000479	0	0	0	0	0	0
ENSLAIG00005000481	433	332	173	554	279	146
ENSLAIG00005000483	0	0	0	0	1	0
ENSLAIG00005000484	68	38	26	62	30	14
ENSLAIG00005000485	337	293	203	417	336	204
ENSLAIG00005000489	223	257	6655	411	824	4809
ENSLAIG00005000491	0	0	0	0	0	0
ENSLAIG00005000493	167	192	135	269	187	109
ENSLAIG00005000494	3	0	0	0	0	0
ENSLAIG00005000495	5	26	0	13	19	3
ENSLAIG00005000496	9	8	0	14	10	1
ENSLAIG00005000497	336	239	196	390	276	173
ENSLAIG00005000502	0	0	0	0	0	0
ENSLAIG00005000503	77	47	33	79	59	50
ENSLAIG00005000505	22	15	14	43	22	28
ENSLAIG00005000506	420	580	423	709	639	424
ENSLAIG00005000507	162	148	123	189	162	152
ENSLAIG00005000508	22	28	19	34	20	26
ENSLAIG00005000509	28414	27144	13673	36519	23052	11252
ENSLAIG00005000510	837	681	558	1147	775	650
ENSLAIG00005000511	0	1	2	0	0	0
ENSLAIG00005000513	22605	25069	16389	34544	31781	7982
ENSLAIG00005000514	1	4	2	1	5	2
ENSLAIG00005000516	0	1	0	0	0	0
ENSLAIG00005000517	225	110	90	190	145	101
ENSLAIG00005000518	4605	4213	1986	7118	3959	1742
ENSLAIG00005000519	12	9	22	13	11	23
ENSLAIG00005000521	6	6	1	11	11	0
ENSLAIG00005000522	0	0	0	0	0	0
ENSLAIG00005000523	1226	2535	1930	2723	3517	1539
ENSLAIG00005000524	1345	1337	1454	2295	1546	1157
ENSLAIG00005000525	172	166	200	180	196	188
ENSLAIG00005000526	149	973	3355	250	1461	4232
ENSLAIG00005000527	20	6	46	8	16	25
ENSLAIG00005000528	5	12	5	6	9	6
ENSLAIG00005000529	8	3	3	8	3	1
ENSLAIG00005000530	1998	1706	970	2578	1748	1012
ENSLAIG00005000532	645	1017	542	1219	1030	417
ENSLAIG00005000533	0	0	0	0	0	2
ENSLAIG00005000535	0	0	0	0	0	3
ENSLAIG00005000536	1807	1061	907	1682	1006	869
ENSLAIG00005000537	18	27	45	54	31	22
ENSLAIG00005000538	423	304	209	399	254	285
