	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005012793	287	189	117	269	247	160
ENSLAIG00005012794	278	527	611	428	682	495
ENSLAIG00005012795	319	365	782	392	346	619
ENSLAIG00005012796	197	220	127	320	245	124
ENSLAIG00005012797	1322	1182	682	1605	1039	589
ENSLAIG00005012798	108	69	74	117	80	61
ENSLAIG00005012799	0	5	1	0	0	0
ENSLAIG00005012800	6	4	1	8	0	0
ENSLAIG00005012801	1636	1379	1555	1981	1502	1433
ENSLAIG00005012802	1554	1238	978	1830	1137	770
ENSLAIG00005012803	0	0	0	0	0	0
ENSLAIG00005012804	1	0	3	0	0	0
ENSLAIG00005012805	4	9	2	1	10	0
ENSLAIG00005012806	0	5	0	0	0	0
ENSLAIG00005012807	242	189	89	332	192	112
ENSLAIG00005012808	0	0	0	0	0	1
ENSLAIG00005012809	7	14	222	10	6	2392
ENSLAIG00005012810	259	207	131	333	217	134
ENSLAIG00005012811	3432	2801	2034	3885	2506	1697
ENSLAIG00005012812	0	7	0	4	12	2
ENSLAIG00005012813	807	715	587	989	751	482
ENSLAIG00005012814	81	626	1214	106	1704	1290
ENSLAIG00005012815	2	0	0	0	0	1
ENSLAIG00005012816	332	164	136	333	185	117
ENSLAIG00005012817	251	340	267	308	322	349
ENSLAIG00005012818	8456	3534	9212	9518	2736	7471
ENSLAIG00005012819	0	0	0	0	0	0
ENSLAIG00005012820	0	0	0	0	0	0
ENSLAIG00005012821	1856	2318	1837	2659	3189	1666
ENSLAIG00005012822	450	344	396	586	360	405
ENSLAIG00005012823	2195	1576	905	2579	1558	746
ENSLAIG00005012824	16	12	12	27	12	15
ENSLAIG00005012825	4695	5684	3386	5617	6225	3106
ENSLAIG00005012826	14	7	3	4	5	0
ENSLAIG00005012827	946	1468	353	2288	1814	233
ENSLAIG00005012828	0	2	0	0	1	0
ENSLAIG00005012829	333	632	2475	428	479	2340
ENSLAIG00005012830	44	228	4935	100	2721	3393
ENSLAIG00005012831	1278	890	462	1650	960	331
ENSLAIG00005012832	0	0	0	0	0	0
ENSLAIG00005012833	604	613	275	716	560	315
ENSLAIG00005012834	233	242	115	291	292	117
ENSLAIG00005012835	3757	3034	5302	4257	3338	6470
ENSLAIG00005012836	5	2	2	5	1	1
ENSLAIG00005012837	2	2	0	1	1	11
ENSLAIG00005012838	10	11	164	10	7	191
ENSLAIG00005012839	21	14	19	20	19	13
ENSLAIG00005012840	1888	1602	834	2279	1723	753
ENSLAIG00005012841	84	47	6	86	31	9
ENSLAIG00005012842	555	314	104	686	337	91
ENSLAIG00005012843	0	0	0	0	0	0
ENSLAIG00005012844	307	570	382	378	602	369
ENSLAIG00005012845	792	963	772	1120	1094	663
ENSLAIG00005012846	840	641	330	1125	547	289
ENSLAIG00005012847	809	885	1318	959	899	1517
ENSLAIG00005012848	0	0	0	1	0	0
ENSLAIG00005012849	493	497	293	601	598	312
ENSLAIG00005012850	3707	2936	1135	4179	3139	968
ENSLAIG00005012851	91	58	37	154	48	27
ENSLAIG00005012852	2843	2309	1401	4187	1885	925
ENSLAIG00005012853	483	468	209	547	407	231
ENSLAIG00005012856	2654	1224	927	2539	1015	858
ENSLAIG00005012859	813	909	736	1272	846	686
ENSLAIG00005012860	830	928	921	1221	1089	995
ENSLAIG00005012862	1362	1612	1009	2214	1563	877
ENSLAIG00005012863	11	17	12	20	21	3
ENSLAIG00005012864	223	225	122	328	242	114
ENSLAIG00005012865	2500	1850	748	2784	1862	737
ENSLAIG00005012866	6927	7627	123	9482	7072	167
ENSLAIG00005012868	1006	1180	12	1173	1054	16
ENSLAIG00005012869	442	178	170	379	170	175
ENSLAIG00005012872	0	0	2	2	0	0
ENSLAIG00005012873	219	121	116	303	145	109
ENSLAIG00005012874	0	0	0	1	0	1
ENSLAIG00005012876	3680	4348	1168	6220	3465	950
ENSLAIG00005012877	658	299	238	752	235	206
ENSLAIG00005012878	0	0	0	0	0	1
ENSLAIG00005012879	1347	1162	980	1612	1208	1014
ENSLAIG00005012880	0	0	1	0	0	0
ENSLAIG00005012881	18599	15980	10953	27221	21030	12554
ENSLAIG00005012882	570	374	222	610	322	185
ENSLAIG00005012883	172	60	59	161	74	62
ENSLAIG00005012884	0	0	0	0	0	0
ENSLAIG00005012887	3	3	0	7	6	3
ENSLAIG00005012888	20	40	460	14	168	356
ENSLAIG00005012889	441	290	517	503	339	417
ENSLAIG00005012890	1330	1155	611	1496	1165	614
ENSLAIG00005012892	49	69	76	172	41	75
ENSLAIG00005012894	1008	3412	1488	1641	2486	1246
ENSLAIG00005012895	415	426	427	691	608	475
ENSLAIG00005012896	22072	26199	5976	32657	22583	4393
ENSLAIG00005012897	853	889	486	1138	1020	594
ENSLAIG00005012898	0	0	0	1	0	0
ENSLAIG00005012899	18156	82882	12440	70984	61815	10693
ENSLAIG00005012900	75	73	35	82	77	56
ENSLAIG00005012901	4669	1516	727	3520	979	678
ENSLAIG00005012904	450	595	423	643	705	277
ENSLAIG00005012905	2598	2633	3658	5847	2472	2830
ENSLAIG00005012906	398	337	219	570	355	169
ENSLAIG00005012907	0	0	0	1	0	3
ENSLAIG00005012908	1987	1550	1296	2126	1557	1123
ENSLAIG00005012909	1576	1266	151	2914	602	155
ENSLAIG00005012911	8080	6316	4125	9241	4920	3886
ENSLAIG00005012913	0	0	0	0	0	0
ENSLAIG00005012915	442	492	430	630	460	445
ENSLAIG00005012916	0	0	0	1	1	8
ENSLAIG00005012917	723	568	294	699	771	290
ENSLAIG00005012918	37	26	0	43	25	0
ENSLAIG00005012919	6	5	0	2	8	1
ENSLAIG00005012920	1174	1235	694	1566	1491	730
ENSLAIG00005012921	748	405	129	686	275	132
ENSLAIG00005012923	830	718	506	871	712	552
ENSLAIG00005012924	1504	2461	2811	1880	3552	2116
ENSLAIG00005012925	4138	3577	3101	4846	3843	2914
ENSLAIG00005012926	1193	898	268	1187	727	210
ENSLAIG00005012927	714	557	489	819	643	677
ENSLAIG00005012928	2408	1454	386	2669	1322	307
ENSLAIG00005012929	0	0	0	0	0	0
ENSLAIG00005012930	212	207	116	372	202	123
ENSLAIG00005012931	17817	37658	3422	32135	42711	2991
ENSLAIG00005012932	719	662	324	958	582	250
ENSLAIG00005012934	116	79	47	201	92	70
ENSLAIG00005012935	19	31	7	61	29	6
ENSLAIG00005012936	170	33	7	209	55	2
ENSLAIG00005012937	2552	1036	56	2411	505	64
ENSLAIG00005012938	1556	1773	799	2371	1838	786
ENSLAIG00005012939	653	511	301	800	483	327
ENSLAIG00005012940	61	55	41	122	45	53
ENSLAIG00005012941	132	212	158	251	274	153
ENSLAIG00005012942	461	629	502	575	608	461
ENSLAIG00005012943	151	28	83	77	31	76
ENSLAIG00005012944	986	757	493	1121	1122	518
ENSLAIG00005012945	0	0	0	0	0	1
ENSLAIG00005012946	691	450	98	953	383	101
ENSLAIG00005012947	655	559	435	886	595	392
ENSLAIG00005012948	110	92	54	138	70	45
ENSLAIG00005012949	1	0	0	0	2	0
ENSLAIG00005012950	388	338	293	552	396	247
ENSLAIG00005012951	2185	1271	721	2247	1028	637
ENSLAIG00005012953	424	318	300	451	351	324
ENSLAIG00005012954	3	3	0	2	0	0
ENSLAIG00005012956	768	31448	357	1392	73715	516
ENSLAIG00005012957	135	88	14	186	94	20
ENSLAIG00005012958	963	1017	440	1225	820	419
ENSLAIG00005012959	520	422	195	662	454	199
ENSLAIG00005012960	8	5	3	7	7	0
ENSLAIG00005012961	2956	5005	3643	5103	6095	2904
ENSLAIG00005012962	284	105	703	204	126	643
ENSLAIG00005012964	7	15	5	6	22	9
ENSLAIG00005012965	0	0	8	0	0	16
ENSLAIG00005012966	4848	5357	1572	6921	4439	1522
ENSLAIG00005012967	2	0	1	0	0	0
ENSLAIG00005012968	182	190	85	294	188	87
ENSLAIG00005012970	2	1	0	2	15	0
ENSLAIG00005012971	0	0	0	0	0	0
ENSLAIG00005012972	0	0	0	0	0	0
ENSLAIG00005012973	36	8	3	20	7	0
ENSLAIG00005012974	235	148	94	235	129	87
ENSLAIG00005012975	836	632	322	993	525	299
ENSLAIG00005012976	0	0	4	2	0	3
ENSLAIG00005012977	0	0	0	0	0	0
ENSLAIG00005012978	3	5	1	4	6	0
ENSLAIG00005012979	1	0	0	1	0	0
ENSLAIG00005012981	291	266	129	271	257	139
ENSLAIG00005012982	7877	5302	2338	9178	5246	2779
ENSLAIG00005012983	0	0	0	0	0	0
ENSLAIG00005012984	2	4	2	2	2	1
ENSLAIG00005012985	1006	740	319	1249	705	295
ENSLAIG00005012986	757	815	404	970	777	374
ENSLAIG00005012987	0	0	0	0	1	1
ENSLAIG00005012990	800	704	356	911	725	351
ENSLAIG00005012991	90473	95997	108172	160978	64899	71153
ENSLAIG00005012992	333	399	113	436	451	131
ENSLAIG00005012994	1182	989	503	1503	925	401
ENSLAIG00005012995	3939	4869	2058	5476	4460	1628
ENSLAIG00005012996	2671	2264	1406	3593	2207	1398
ENSLAIG00005012997	0	0	0	0	0	0
ENSLAIG00005012999	0	0	0	0	0	0
ENSLAIG00005013000	166	110	97	172	137	104
ENSLAIG00005013001	2685	1844	894	2962	2443	793
ENSLAIG00005013002	115	95	80	157	86	99
ENSLAIG00005013004	1074	927	698	922	690	782
ENSLAIG00005013005	761	671	415	934	703	436
ENSLAIG00005013006	336	208	79	394	247	88
ENSLAIG00005013007	39	79	30	26	95	28
ENSLAIG00005013008	1702	1481	729	2110	1396	691
ENSLAIG00005013009	608	431	270	732	395	219
ENSLAIG00005013011	626	1175	549	962	1052	439
ENSLAIG00005013012	348	215	166	435	268	175
ENSLAIG00005013016	546	530	299	725	568	322
ENSLAIG00005013018	0	0	0	0	0	0
ENSLAIG00005013020	1664	926	783	1681	783	680
ENSLAIG00005013022	0	0	0	3	0	0
ENSLAIG00005013023	140	69	69	140	56	52
ENSLAIG00005013024	135	120	82	163	111	87
ENSLAIG00005013025	446	378	234	486	360	235
ENSLAIG00005013026	0	0	0	0	0	0
ENSLAIG00005013027	219	99	212	236	119	191
ENSLAIG00005013028	2780	3010	1264	3805	3023	1071
ENSLAIG00005013029	151	168	179	114	194	139
ENSLAIG00005013030	136	213	156	199	241	104
ENSLAIG00005013031	320	162	214	320	199	223
ENSLAIG00005013033	9	8	7	8	13	3
ENSLAIG00005013035	20	27	27	20	24	17
ENSLAIG00005013036	301	290	164	448	256	158
ENSLAIG00005013037	634	316	168	674	266	165
ENSLAIG00005013038	272	148	121	263	112	129
ENSLAIG00005013039	29	16264	12	108	59218	7
ENSLAIG00005013041	9	5	0	10	21	2
ENSLAIG00005013043	1	0	0	0	2	0
ENSLAIG00005013044	667	231	601	848	228	515
ENSLAIG00005013045	348	301	189	435	380	199
ENSLAIG00005013046	1180	999	616	1365	832	527
ENSLAIG00005013047	0	5	0	19	5	0
ENSLAIG00005013048	0	0	0	0	0	0
ENSLAIG00005013049	10	4	53	10	11	38
ENSLAIG00005013050	488	375	205	487	337	194
ENSLAIG00005013051	2	14	71	11	60	36
ENSLAIG00005013052	1546	1458	906	1772	1551	851
ENSLAIG00005013053	0	0	0	0	0	0
ENSLAIG00005013054	0	0	0	0	0	0
ENSLAIG00005013055	1	0	3	0	0	1
ENSLAIG00005013056	4	4	2	5	7	0
ENSLAIG00005013057	12	3	4	7	77	3
ENSLAIG00005013058	947	1066	474	1399	945	377
ENSLAIG00005013059	2329	2447	678	2913	2379	656
ENSLAIG00005013060	1	7	96	0	31	83
ENSLAIG00005013061	2	5	4	3	2	2
ENSLAIG00005013063	0	0	0	0	0	0
ENSLAIG00005013064	196	715	329	467	1291	286
ENSLAIG00005013066	0	1	3	0	1	2
ENSLAIG00005013067	0	0	0	0	0	0
ENSLAIG00005013070	107	66	130	167	53	95
ENSLAIG00005013072	431	391	305	565	362	252
ENSLAIG00005013073	2944	2796	1328	3695	2649	1257
ENSLAIG00005013075	9487	1420	42	13216	534	73
ENSLAIG00005013076	0	0	0	0	0	2
ENSLAIG00005013080	0	0	0	0	0	0
ENSLAIG00005013081	2342	2538	1772	3812	2726	1488
ENSLAIG00005013082	3	6	4	15	43	9
ENSLAIG00005013083	1	0	0	0	0	0
ENSLAIG00005013084	5736	3854	5157	7607	3558	3795
ENSLAIG00005013085	0	0	0	1	0	0
ENSLAIG00005013086	1553	1098	593	2163	1010	514
ENSLAIG00005013087	520	768	339	729	896	288
ENSLAIG00005013088	0	0	0	0	0	0
ENSLAIG00005013089	12	4	25	10	12	21
ENSLAIG00005013090	12493	17325	4404	16764	17192	3390
ENSLAIG00005013092	567	449	242	732	447	205
ENSLAIG00005013093	7	15	11	6	6	18
ENSLAIG00005013094	3195	4489	2574	4586	4841	2245
ENSLAIG00005013095	6	6	14	5	12	6
ENSLAIG00005013096	0	0	0	0	4	1
ENSLAIG00005013099	248	224	83	212	192	29
ENSLAIG00005013100	1127	948	759	1612	877	711
ENSLAIG00005013102	0	0	2	1	6	5
ENSLAIG00005013103	0	0	0	0	0	1
ENSLAIG00005013104	455	903	129	753	1106	130
ENSLAIG00005013105	638	781	433	955	765	345
ENSLAIG00005013106	15585	3652	266	19391	2264	213
ENSLAIG00005013108	5	0	6	7	1	3
ENSLAIG00005013109	657	520	437	749	591	467
ENSLAIG00005013110	1257	571	374	1344	412	318
ENSLAIG00005013111	1	11	258	0	4	169
ENSLAIG00005013112	378	358	1148	403	406	1020
ENSLAIG00005013113	20927	23045	9010	27538	19522	8847
ENSLAIG00005013114	398	330	419	493	331	363
ENSLAIG00005013115	0	0	5	0	1	6
ENSLAIG00005013116	1668	1636	831	2984	1709	713
ENSLAIG00005013117	0	0	0	0	0	0
ENSLAIG00005013118	16029	27719	5828	23218	19495	6193
ENSLAIG00005013119	0	0	0	0	0	0
ENSLAIG00005013120	14	50	664	18	166	337
ENSLAIG00005013121	2455	3702	238	6811	2547	169
ENSLAIG00005013122	3402	3567	1846	3989	3893	1560
ENSLAIG00005013123	198	131	196	200	109	183
ENSLAIG00005013124	43099	19013	142	52701	10391	120
ENSLAIG00005013125	22	17	15	34	15	12
ENSLAIG00005013127	303	207	140	317	270	155
ENSLAIG00005013128	0	0	0	0	0	0
ENSLAIG00005013130	0	1	0	0	0	0
ENSLAIG00005013132	611	571	366	852	599	374
ENSLAIG00005013133	10	16	19	7	9	22
ENSLAIG00005013134	54	62	4	97	57	6
ENSLAIG00005013135	1014	392	221	1276	232	186
ENSLAIG00005013136	6	0	0	2	3	1
ENSLAIG00005013139	403	240	107	444	179	121
ENSLAIG00005013141	142	82	111	160	80	93
ENSLAIG00005013142	906	850	536	1258	928	389
ENSLAIG00005013143	288	258	333	355	304	227
ENSLAIG00005013144	55	49	51	79	53	37
ENSLAIG00005013145	0	0	0	3	0	0
ENSLAIG00005013146	261	282	242	339	277	163
ENSLAIG00005013147	573	550	31	328	300	27
ENSLAIG00005013148	138	162	140	139	84	104
ENSLAIG00005013149	1	0	3	1	6	0
ENSLAIG00005013150	189	148	81	276	156	64
ENSLAIG00005013151	2	4	0	3	7	0
ENSLAIG00005013153	971	689	481	1094	602	435
ENSLAIG00005013154	0	0	1	0	0	0
ENSLAIG00005013155	169	148	113	176	150	131
ENSLAIG00005013156	394	413	184	464	311	219
ENSLAIG00005013157	0	0	0	0	2	0
ENSLAIG00005013158	4	0	26	8	5	12
ENSLAIG00005013159	0	1	0	0	0	2
ENSLAIG00005013160	3	0	1	0	0	1
ENSLAIG00005013161	1082	1249	626	1334	1372	640
ENSLAIG00005013162	194	35	63	188	28	48
ENSLAIG00005013163	15	25	7	14	30	1
ENSLAIG00005013164	41	36	61	105	94	134
ENSLAIG00005013165	0	0	0	0	0	0
ENSLAIG00005013166	1226	1118	195	1215	861	172
ENSLAIG00005013167	219	115	79	199	93	69
ENSLAIG00005013168	2702	3121	8635	4477	3757	5617
ENSLAIG00005013169	254	576	187	424	609	169
ENSLAIG00005013170	0	0	0	1	0	0
ENSLAIG00005013171	94	47	58	117	71	66
ENSLAIG00005013173	0	0	0	0	0	0
ENSLAIG00005013174	305	161	56	422	200	31
ENSLAIG00005013175	39	20	20	40	31	22
ENSLAIG00005013176	0	0	0	0	0	0
ENSLAIG00005013177	103	42	43	87	53	45
ENSLAIG00005013178	27	91	52	71	83	49
ENSLAIG00005013179	0	4	0	0	1	0
ENSLAIG00005013180	3531	2057	686	3773	1546	555
ENSLAIG00005013181	0	1	2	1	3	0
ENSLAIG00005013182	1650	1581	281	1882	956	250
ENSLAIG00005013184	26	30	17	35	21	17
ENSLAIG00005013185	2040	2044	1502	3296	2114	1282
ENSLAIG00005013186	106	134	147	96	153	109
ENSLAIG00005013187	590	579	577	777	616	516
ENSLAIG00005013189	421	213	177	377	172	196
ENSLAIG00005013191	495	400	184	526	376	169
ENSLAIG00005013192	578	337	171	611	370	218
ENSLAIG00005013193	282	323	124	374	485	140
ENSLAIG00005013194	240	153	114	236	165	135
ENSLAIG00005013195	495	623	240	670	571	231
ENSLAIG00005013196	171	190	157	224	188	158
ENSLAIG00005013197	13177	19723	2118	21285	22380	2058
ENSLAIG00005013198	15	7	9	17	6	6
ENSLAIG00005013199	1086	944	838	1286	1010	778
ENSLAIG00005013200	1951	4828	4594	2753	5396	2916
ENSLAIG00005013201	0	0	0	0	0	0
ENSLAIG00005013202	478	358	201	554	338	246
ENSLAIG00005013203	226	126	128	259	158	124
ENSLAIG00005013204	959	2489	1241	1329	2040	829
ENSLAIG00005013205	919	939	514	1292	961	365
ENSLAIG00005013206	783	712	443	982	661	358
ENSLAIG00005013207	35	27	12	69	16	14
ENSLAIG00005013209	0	1	0	6	0	0
ENSLAIG00005013210	241	200	185	243	145	203
ENSLAIG00005013212	3	3	0	1	2	0
ENSLAIG00005013213	404	195	60	374	192	58
ENSLAIG00005013214	1647	1559	565	2247	1538	467
ENSLAIG00005013215	871	759	566	1052	673	583
ENSLAIG00005013217	23	16	6	36	5	5
ENSLAIG00005013218	3757	2983	860	4343	3282	786
ENSLAIG00005013219	2276	1577	567	2842	1643	575
ENSLAIG00005013220	84	40	25	98	45	40
ENSLAIG00005013221	3264	2657	1326	3719	2637	1352
ENSLAIG00005013223	543	515	636	676	673	551
ENSLAIG00005013224	0	0	0	0	0	0
ENSLAIG00005013225	804	539	221	785	903	239
ENSLAIG00005013227	8906	7078	4855	7771	5198	4482
ENSLAIG00005013228	373	355	131	344	428	106
ENSLAIG00005013229	2614	5617	2993	3649	4952	2629
ENSLAIG00005013230	734	606	365	773	541	425
ENSLAIG00005013231	10	7	8	14	9	15
ENSLAIG00005013232	612	247	177	691	240	170
ENSLAIG00005013233	23	6	0	40	8	1
ENSLAIG00005013234	8	38	132	13	35	159
ENSLAIG00005013235	0	2	0	0	2	0
ENSLAIG00005013236	339	185	124	299	153	162
ENSLAIG00005013237	177	114	112	216	90	119
ENSLAIG00005013240	181	94	52	286	142	58
ENSLAIG00005013242	2971	2023	759	3573	1700	680
ENSLAIG00005013243	997	542	88	1114	562	84
ENSLAIG00005013244	7443	6029	1992	8665	5060	1609
ENSLAIG00005013245	8	4	23	9	1	23
ENSLAIG00005013246	0	3	0	0	0	0
ENSLAIG00005013247	3892	1712	26	3786	1224	33
ENSLAIG00005013248	1	0	1	0	0	0
ENSLAIG00005013249	1023	859	452	1227	621	398
ENSLAIG00005013250	88	289	825	184	396	553
ENSLAIG00005013251	2854	2787	1262	3752	2715	1146
ENSLAIG00005013252	570	405	370	629	383	403
ENSLAIG00005013253	4	0	1	20	7	1
ENSLAIG00005013255	0	0	0	2	0	0
ENSLAIG00005013256	1216	308	264	799	263	220
ENSLAIG00005013258	866	537	323	1147	418	235
ENSLAIG00005013259	2	0	11	2	1	9
ENSLAIG00005013261	506	440	365	641	475	413
ENSLAIG00005013262	501	418	494	595	432	460
ENSLAIG00005013263	985	1018	785	1228	946	665
ENSLAIG00005013264	1	1	8	2	0	47
ENSLAIG00005013265	25	25	4	21	19	3
ENSLAIG00005013266	2	11	5	2	4	8
ENSLAIG00005013267	0	0	0	1	1	0
ENSLAIG00005013268	44	62	24	72	42	68
ENSLAIG00005013269	695	704	399	920	680	329
ENSLAIG00005013270	1188	1211	950	2067	1433	756
ENSLAIG00005013271	7689	5673	3206	9799	5786	3246
ENSLAIG00005013272	0	54	2	2	65	1
ENSLAIG00005013273	250	336	115	360	341	103
ENSLAIG00005013274	2715	2770	1120	5002	3075	858
ENSLAIG00005013275	826	986	542	1052	894	477
ENSLAIG00005013277	638	486	223	726	356	211
ENSLAIG00005013278	0	0	0	0	0	0
ENSLAIG00005013279	2	5	0	1	0	0
ENSLAIG00005013280	347	266	282	344	227	275
ENSLAIG00005013281	839	413	249	585	378	253
ENSLAIG00005013282	12	18	6	10	15	8
ENSLAIG00005013283	2481	2281	982	3212	2153	871
ENSLAIG00005013284	461	312	147	520	277	169
ENSLAIG00005013285	449	475	322	708	515	276
ENSLAIG00005013286	1223	1007	457	1500	1182	356
ENSLAIG00005013287	0	0	0	0	0	0
ENSLAIG00005013288	1837	2289	530	2399	2416	445
ENSLAIG00005013289	598	513	256	785	494	282
ENSLAIG00005013290	10	7	42	16	17	31
ENSLAIG00005013291	8598	5669	3313	9681	4434	2893
ENSLAIG00005013292	23	34	9	23	32	6
ENSLAIG00005013293	472	1396	129	2333	4853	120
ENSLAIG00005013296	60	321	82	121	422	75
ENSLAIG00005013298	0	0	0	0	0	0
ENSLAIG00005013299	467	304	282	504	317	313
ENSLAIG00005013300	1	2	2	6	6	7
ENSLAIG00005013301	345	141	296	699	208	186
ENSLAIG00005013302	87	62	60	79	45	49
ENSLAIG00005013303	0	0	0	0	0	0
ENSLAIG00005013304	184	168	205	275	193	190
ENSLAIG00005013305	835	740	597	943	754	461
ENSLAIG00005013306	0	0	0	0	0	0
ENSLAIG00005013307	119	56	85	127	95	109
ENSLAIG00005013308	0	1	0	0	0	0
ENSLAIG00005013309	93	57	657	153	46	597
ENSLAIG00005013310	3	1	3	8	1	2
ENSLAIG00005013311	520	447	243	557	390	289
ENSLAIG00005013312	403	294	345	459	294	383
ENSLAIG00005013313	1	1	1	0	2	4
ENSLAIG00005013314	197	131	92	196	160	108
ENSLAIG00005013315	792	602	423	856	624	383
ENSLAIG00005013316	634	525	612	882	551	536
ENSLAIG00005013317	343	130	147	324	115	89
ENSLAIG00005013318	1063	745	392	1240	624	418
ENSLAIG00005013319	694	702	398	748	696	478
ENSLAIG00005013320	1517	1579	1394	2010	1528	1487
ENSLAIG00005013321	3	2	3	6	6	9
ENSLAIG00005013322	9933	8205	3764	12497	7713	3725
ENSLAIG00005013323	0	0	0	0	0	0
ENSLAIG00005013325	0	0	0	0	0	0
ENSLAIG00005013326	204	116	46	193	75	53
ENSLAIG00005013327	4	0	0	2	4	0
ENSLAIG00005013328	876	1316	264	1076	1017	242
ENSLAIG00005013329	0	0	0	0	0	0
ENSLAIG00005013330	0	0	1	1	1	2
ENSLAIG00005013331	1	1	0	0	1	0
ENSLAIG00005013332	41	60	308	38	52	275
ENSLAIG00005013333	9	8	2	2	8	2
ENSLAIG00005013334	255	172	183	248	204	180
ENSLAIG00005013335	2276	1474	2272	2377	1247	2636
ENSLAIG00005013336	335	376	130	403	457	142
ENSLAIG00005013337	532	401	368	704	350	297
ENSLAIG00005013338	5418	9490	4117	8298	15464	4409
ENSLAIG00005013339	129	203	12	187	124	6
ENSLAIG00005013340	656	613	426	873	632	468
ENSLAIG00005013341	20	8	3	8	16	5
ENSLAIG00005013342	15	5	5	23	22	9
ENSLAIG00005013343	114	60	68	112	60	74
ENSLAIG00005013344	645	499	185	781	445	160
ENSLAIG00005013345	1	0	0	3	3	2
ENSLAIG00005013346	6	7	66	8	16	93
ENSLAIG00005013347	3	1	0	2	0	1
ENSLAIG00005013348	112	52	42	87	30	33
ENSLAIG00005013349	382	305	410	417	380	312
ENSLAIG00005013350	1049	939	564	1245	896	531
ENSLAIG00005013351	842	569	250	805	515	250
ENSLAIG00005013352	369	229	247	390	225	206
ENSLAIG00005013353	637	524	480	745	495	418
ENSLAIG00005013354	2489	875	482	2154	754	367
ENSLAIG00005013355	3	1	5	10	8	2
ENSLAIG00005013356	0	0	0	0	0	0
ENSLAIG00005013357	561	557	316	879	709	293
ENSLAIG00005013358	5	5	6	9	8	5
ENSLAIG00005013359	1	15	45	3	13	44
ENSLAIG00005013360	7	8	2	19	1	2
ENSLAIG00005013361	179	158	205	194	190	271
ENSLAIG00005013362	0	0	0	0	1	0
ENSLAIG00005013363	155	138	140	164	143	129
ENSLAIG00005013364	6	12	0	2	7	0
ENSLAIG00005013365	0	2	0	0	0	0
ENSLAIG00005013366	0	0	0	0	0	0
ENSLAIG00005013367	5	4	0	12	1	0
ENSLAIG00005013368	981	668	403	1267	698	424
ENSLAIG00005013369	336	214	99	355	252	78
ENSLAIG00005013370	826	682	538	1039	804	531
ENSLAIG00005013371	812	626	1007	929	709	712
ENSLAIG00005013372	71	25	9	76	13	7
ENSLAIG00005013373	4	120	0	13	200	0
ENSLAIG00005013374	735	652	287	968	545	288
ENSLAIG00005013375	402	307	193	526	312	159
ENSLAIG00005013376	175	125	152	191	136	116
ENSLAIG00005013377	2632	2684	1190	3527	2566	1188
ENSLAIG00005013378	2	8	4	3	21	1
ENSLAIG00005013379	1	1	1	8	0	0
ENSLAIG00005013380	0	0	0	0	0	0
ENSLAIG00005013381	7	3	52	16	8	44
ENSLAIG00005013382	272	902	115	479	1136	131
ENSLAIG00005013383	0	2	1	0	0	4
ENSLAIG00005013384	26	13	50	40	18	63
ENSLAIG00005013385	17	5	2	45	10	6
ENSLAIG00005013386	239	127	20	493	91	9
ENSLAIG00005013387	0	0	2	2	0	2
ENSLAIG00005013388	0	0	0	1	0	0
ENSLAIG00005013389	0	0	5	0	0	7
ENSLAIG00005013390	1	0	0	0	0	0
ENSLAIG00005013391	211	189	119	230	203	154
ENSLAIG00005013392	1043	800	426	1126	601	358
ENSLAIG00005013393	0	0	0	1	2	0
ENSLAIG00005013394	4004	3063	1374	5109	2742	959
ENSLAIG00005013395	301	292	120	387	261	107
ENSLAIG00005013396	1721	1718	1705	2402	1683	1872
ENSLAIG00005013397	42	14	424	27	22	323
ENSLAIG00005013398	1642	1191	637	1838	1459	699
ENSLAIG00005013399	0	0	0	0	0	0
ENSLAIG00005013400	674	574	339	771	649	411
ENSLAIG00005013401	330	260	181	390	237	202
ENSLAIG00005013402	3	0	0	3	0	0
ENSLAIG00005013403	52	37	42	48	32	41
ENSLAIG00005013404	577	362	335	603	314	347
ENSLAIG00005013405	38	157	16	33	88	16
ENSLAIG00005013406	0	0	0	0	0	0
ENSLAIG00005013407	859	1020	333	1104	969	323
ENSLAIG00005013408	164	152	126	248	276	141
ENSLAIG00005013409	5	1	1	2	7	1
ENSLAIG00005013410	8	49	34	28	46	22
ENSLAIG00005013411	147	11	0	56	6	2
ENSLAIG00005013412	37	101	10	21	86	21
ENSLAIG00005013413	453	384	201	578	372	217
ENSLAIG00005013414	5	6	495	10	41	352
ENSLAIG00005013415	518	223	362	455	247	343
ENSLAIG00005013416	1778	1301	1128	1986	1423	960
ENSLAIG00005013417	5	11	0	4	8	0
ENSLAIG00005013418	275	199	159	366	326	143
ENSLAIG00005013419	208	159	226	141	123	189
ENSLAIG00005013420	440	1217	7950	749	2368	6104
ENSLAIG00005013421	74	41	95	125	75	57
ENSLAIG00005013422	95	79	85	122	85	83
ENSLAIG00005013423	255	244	298	297	169	276
ENSLAIG00005013424	15	14	179	9	12	383
ENSLAIG00005013425	87	69	21	110	62	15
ENSLAIG00005013426	0	3	4	4	3	3
ENSLAIG00005013427	592	463	234	693	426	250
ENSLAIG00005013428	288	185	115	338	167	99
ENSLAIG00005013429	2	4	0	2	6	0
ENSLAIG00005013430	1	0	0	0	1	0
ENSLAIG00005013431	1	2	0	1	0	2
ENSLAIG00005013432	0	0	0	0	0	0
