HMEL005748g1.t1	HMEL005748g1	HMEL005748g1
HMEL005746g1.t1	HMEL005746g1	HMEL005746g1
HMEL035149g1.t1	HMEL035149g1	HMEL035149g1
HMEL035148g1.t1	HMEL035148g1	HMEL035148g1
HMEL005743g2.t1	HMEL005743g2	HMEL005743g2
HMEL005741g2.t1	HMEL005741g2	HMEL005741g2
HMEL005741g2.t2	HMEL005741g2	HMEL005741g2
HMEL005741g2.t3	HMEL005741g2	HMEL005741g2
HMEL035143g1.t1	HMEL035143g1	HMEL035143g1
HMEL012118g1.t1	HMEL012118g1	HMEL012118g1
HMEL012117g1.t1	HMEL012117g1	HMEL012117g1
HMEL012111g1.t1	HMEL012111g1	HMEL012111g1
HMEL012109g1.t1	HMEL012109g1	HMEL012109g1
HMEL012107g2.t1	HMEL012107g2	HMEL012107g2
HMEL035141g1.t3	HMEL035141g1	HMEL035141g1
HMEL035141g1.t1	HMEL035141g1	HMEL035141g1
HMEL035141g1.t2	HMEL035141g1	HMEL035141g1
HMEL005770g1.t1	HMEL005770g1	HMEL005770g1
HMEL035137g1.t1	HMEL035137g1	HMEL035137g1
HMEL035134g1.t1	HMEL035134g1	HMEL035134g1
HMEL035133g1.t1	HMEL035133g1	HMEL035133g1
HMEL035131g1.t1	HMEL035131g1	HMEL035131g1
HMEL035130g1.t1	HMEL035130g1	HMEL035130g1
HMEL035129g1.t1	HMEL035129g1	HMEL035129g1
HMEL035126g1.t1	HMEL035126g1	HMEL035126g1
HMEL035124g1.t1	HMEL035124g1	HMEL035124g1
HMEL003918g1.t1	HMEL003918g1	HMEL003918g1
HMEL035122g1.t1	HMEL035122g1	HMEL035122g1
HMEL005040g1.t1	HMEL005040g1	HMEL005040g1
HMEL005039g1.t1	HMEL005039g1	HMEL005039g1
HMEL005038g1.t1	HMEL005038g1	HMEL005038g1
HMEL005036g1.t1	HMEL005036g1	HMEL005036g1
HMEL035120g1.t1	HMEL035120g1	HMEL035120g1
HMEL035119g1.t2	HMEL035119g1	HMEL035119g1
HMEL035119g1.t1	HMEL035119g1	HMEL035119g1
HMEL005034g1.t1	HMEL005034g1	HMEL005034g1
HMEL035118g1.t1	HMEL035118g1	HMEL035118g1
HMEL035116g1.t1	HMEL035116g1	HMEL035116g1
HMEL035115g1.t1	HMEL035115g1	HMEL035115g1
HMEL035114g1.t1	HMEL035114g1	HMEL035114g1
HMEL035113g1.t1	HMEL035113g1	HMEL035113g1
HMEL035112g1.t1	HMEL035112g1	HMEL035112g1
HMEL014064g1.t1	HMEL014064g1	HMEL014064g1
HMEL035111g1.t1	HMEL035111g1	HMEL035111g1
HMEL035110g1.t1	HMEL035110g1	HMEL035110g1
HMEL035110g1.t2	HMEL035110g1	HMEL035110g1
HMEL014067g1.t1	HMEL014067g1	HMEL014067g1
HMEL014068g1.t1	HMEL014068g1	HMEL014068g1
HMEL014070g1.t1	HMEL014070g1	HMEL014070g1
HMEL014070g1.t2	HMEL014070g1	HMEL014070g1
HMEL014071g1.t1	HMEL014071g1	HMEL014071g1
HMEL035107g1.t1	HMEL035107g1	HMEL035107g1
HMEL035105g1.t1	HMEL035105g1	HMEL035105g1
HMEL035104g1.t1	HMEL035104g1	HMEL035104g1
HMEL035103g1.t1	HMEL035103g1	HMEL035103g1
HMEL035102g1.t1	HMEL035102g1	HMEL035102g1
HMEL035101g1.t1	HMEL035101g1	HMEL035101g1
HMEL035100g1.t1	HMEL035100g1	HMEL035100g1
HMEL035099g1.t1	HMEL035099g1	HMEL035099g1
HMEL035098g1.t1	HMEL035098g1	HMEL035098g1
HMEL035098g1.t2	HMEL035098g1	HMEL035098g1
HMEL014073g2.t1	HMEL014073g2	HMEL014073g2
HMEL014073g1.t1	HMEL014073g1	HMEL014073g1
HMEL014074g1.t1	HMEL014074g1	HMEL014074g1
HMEL014074g1.t2	HMEL014074g1	HMEL014074g1
HMEL035096g1.t1	HMEL035096g1	HMEL035096g1
HMEL012893g1.t1	HMEL012893g1	HMEL012893g1
HMEL012895g1.t1	HMEL012895g1	HMEL012895g1
HMEL016153g1.t1	HMEL016153g1	HMEL016153g1
HMEL016152g1.t1	HMEL016152g1	HMEL016152g1
HMEL016152g1.t2	HMEL016152g1	HMEL016152g1
HMEL016147g1.t1	HMEL016147g1	HMEL016147g1
HMEL016143g1.t1	HMEL016143g1	HMEL016143g1
HMEL014722g1.t1	HMEL014722g1	HMEL014722g1
HMEL035087g1.t1	HMEL035087g1	HMEL035087g1
HMEL008796g1.t1	HMEL008796g1	HMEL008796g1
HMEL016155g1.t1	HMEL016155g1	HMEL016155g1
HMEL035081g1.t1	HMEL035081g1	HMEL035081g1
HMEL035081g1.t2	HMEL035081g1	HMEL035081g1
HMEL016159g1.t1	HMEL016159g1	HMEL016159g1
HMEL016159g1.t2	HMEL016159g1	HMEL016159g1
HMEL016159g1.t3	HMEL016159g1	HMEL016159g1
HMEL035079g1.t1	HMEL035079g1	HMEL035079g1
HMEL035076g1.t1	HMEL035076g1	HMEL035076g1
HMEL016160g1.t1	HMEL016160g1	HMEL016160g1
HMEL016161g1.t1	HMEL016161g1	HMEL016161g1
HMEL016161g1.t2	HMEL016161g1	HMEL016161g1
HMEL016161g1.t3	HMEL016161g1	HMEL016161g1
HMEL012285g1.t1	HMEL012285g1	HMEL012285g1
HMEL012285g1.t2	HMEL012285g1	HMEL012285g1
HMEL012285g1.t3	HMEL012285g1	HMEL012285g1
HMEL012284g1.t1	HMEL012284g1	HMEL012284g1
HMEL012281g1.t1	HMEL012281g1	HMEL012281g1
HMEL012280g1.t1	HMEL012280g1	HMEL012280g1
HMEL012277g1.t1	HMEL012277g1	HMEL012277g1
HMEL012273g3.t1	HMEL012273g3	HMEL012273g3
HMEL012273g3.t2	HMEL012273g3	HMEL012273g3
HMEL012272g1.t1	HMEL012272g1	HMEL012272g1
HMEL035068g1.t1	HMEL035068g1	HMEL035068g1
HMEL012268g1.t1	HMEL012268g1	HMEL012268g1
HMEL012265g1.t1	HMEL012265g1	HMEL012265g1
HMEL012265g1.t2	HMEL012265g1	HMEL012265g1
HMEL012265g1.t3	HMEL012265g1	HMEL012265g1
HMEL035061g1.t1	HMEL035061g1	HMEL035061g1
HMEL035059g1.t1	HMEL035059g1	HMEL035059g1
HMEL035058g1.t1	HMEL035058g1	HMEL035058g1
HMEL012263g3.t1	HMEL012263g3	HMEL012263g3
